analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerStimulusMean,viewingCountPerStimulusMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullCoverageSlideMean,averageConvexHullCoverageSlideMedian,rawRowCount,gazePointCount,gazePointProportion,nonDuplicateGazePointCount,nonDuplicateGazePointProportion,fixationCount,fixationProportion,fixationNonDuplicateProportion,hazardFixation%,Electrical Hazards Identified,HRI Electrical,Gravity Hazards Identified,HRI Gravity,Mechanical Hazards Identified,HRI Mechanical,Motion Hazards Identified,HRI Motion,Pressure Hazards Identified,HRI Pressure,All Hazards Identified,HRI All,all viewing time,HRPS
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,010_jessicaC,E3Fgz3rnkbN9GayZv,1,1,1,80604,80604,80604,0.08204219085580736,0.08204219085580736,4895,4662,0.9524004085801838,2870,0.6156156156156156,241,0.05169455169455169,0.08397212543554007,0.490384615,1,1,1,0.5,1,1,2,0.666666667,0,0,5,0.714285714,80604,0.062031661
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,003_sravanC,F8gDPfhWCHb6R49yr,1,1,1,86545,86545,86545,0.09633607733145372,0.09633607733145372,5242,5044,0.9622281571919115,3173,0.6290642347343378,230,0.04559873116574147,0.07248660573589663,0.541284404,1,1,2,1,1,1,0,0,0,0,4,0.571428571,86545,0.04621873
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,014_dougB,Fe5xAzpfKSN67K2Ec,1,1,1,174335,174335,174335,0.0740946485042634,0.0740946485042634,10537,8798,0.834962513049255,6755,0.7677881336667425,377,0.04285064787451694,0.05581051073279052,0.544715447,0,0,4,1,1,1,1,0.5,0,0,6,0.75,174335,0.034416497
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,013_gabeC,G43v8qXfRkCM9n8Bg,1,1,1,75177,75177,75177,0.10870280036388497,0.10870280036388497,4546,3643,0.8013638363396393,2772,0.7609113368103212,131,0.035959374142190505,0.047258297258297256,0.552631579,1,1,1,0.5,1,1,0,0,0,0,3,0.428571429,75177,0.039905822
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,017_abyA,HEmXzGZNJnPGpnqFd,1,1,1,69850,69850,69850,0.03029560347558845,0.03029560347558845,10169,3701,0.3639492575474481,2296,0.6203728721967036,168,0.045393136990002705,0.07317073170731707,0.688073394,0,0,1,1,1,1,3,0.375,0,0,5,0.5,70614,0.070807489
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,013_gabeA,Kfkw4dK8GGqidedYq,1,1,1,69219,69219,69219,0.09506604932095253,0.09506604932095253,9857,3610,0.36623719184336007,2810,0.778393351800554,117,0.032409972299168976,0.041637010676156584,0.72815534,0,0,1,1,0,0,3,0.375,0,0,4,0.4,69219,0.057787602
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,012_guillermoB,L6mQiLKqXJfopwtkE,1,1,1,107953,107953,107953,0.08664280872806641,0.08664280872806641,6565,6081,0.9262757044935263,5026,0.826508797895083,226,0.03716493997697747,0.04496617588539594,0.653266332,0,0,2,0.5,1,1,1,0.5,1,1,5,0.625,107953,0.046316453
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,001_waelB,NPj6og8rgF7ZGjrJx,1,1,1,77052,77052,77052,0.0671575214435832,0.0671575214435832,4694,3013,0.641883255219429,1056,0.3504812479256555,128,0.04248257550614006,0.12121212121212122,0.467391304,0,0,1,0.25,1,1,0,0,0,0,2,0.25,77052,0.025956497
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,016_brianA,NW5v5q9iZsaDPfp7f,1,1,1,54748,54748,54748,0.23001342158858223,0.23001342158858223,7379,2731,0.3701043501829516,1819,0.6660563896008788,114,0.04174295129989015,0.06267179769103903,0.71,0,0,0,0,1,1,4,0.5,0,0,5,0.5,54748,0.091327537
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,005_saraB,NfBZEqcAwWmTjwEfx,1,1,1,81666,81666,81666,0.18297514690768185,0.18297514690768185,4927,4255,0.8636086868276842,2721,0.6394829612220917,211,0.04958871915393655,0.07754502021315693,0.621794872,0,0,4,1,1,1,1,0.5,0,0,6,0.75,81666,0.073469988
