"study","analysis","participant","stimulus","viewingNumber","period","startIndex","endIndex","startTime","endTime","hullPeriod","timeStep","duration","pointCount","pointsX","pointsY","lastPointX","lastPointY","distance","distanceX","distanceY","centroidX","centroidY","centroidDistance","centroidDistanceX","centroidDistanceY","stimulusWidth","stimulusHeight","stimulusArea","area","areaDuration","averageArea","coverage","coverageDuration","averageCoverage"
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,7,16,"15284","19981",4697,581,398,10,"[299,265,280,253,257,177,159,120,106,201]","[150,125,35,75,81,206,290,447,399,64]","201","64",348.209706929603,95,-335,205.38620515571262,211.5680854868057,23.668090715596975,-2.1220943472012266,-23.572764659736123,648,521,337608,8407,3345986,4523.566312869377,0.024901661098078245,9.910861117035141,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,8,17,"16064","20379",4315,398,431,10,"[265,280,253,257,177,159,120,106,201,179]","[125,35,75,81,206,290,447,399,64,221]","179","221",158.5339080449353,-22,157,192.37485124950416,210.41626632582603,13.062236326609849,-13.011353906208456,-1.1518191609796702,648,521,337608,2475,1066725,4523.566312869377,0.007330987417359778,3.1596555768820647,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,8,18,"16064","20810",4746,431,199,11,"[265,280,253,257,177,159,120,106,201,179,127]","[125,35,75,81,206,290,447,399,64,221,360]","127","360",148.4082207965583,-52,139,192.37485124950416,210.41626632582603,0,0,0,648,521,337608,1006,200194,4523.566312869377,0.002979787208833914,0.5929776545579488,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,8,19,"16064","21009",4945,199,1959,12,"[265,280,253,257,177,159,120,106,201,179,127,200]","[125,35,75,81,206,290,447,399,64,221,360,156]","200","156",216.6679487141557,73,-204,192.37485124950416,210.41626632582603,0,0,0,648,521,337608,4492.5,8800807.5,4523.566312869377,0.013306852918177294,26.06812486670932,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,12,20,"18238","22968",4730,1959,648,9,"[177,159,120,106,201,179,127,200,280]","[206,290,447,399,64,221,360,156,18]","280","18",159.51175505272332,80,-138,185.33934210894049,209.16500377295213,7.1459111975436365,-7.035509140563676,-1.2512625528738965,648,521,337608,6748,4372704,4523.566312869377,0.0199876780171086,12.952015355086374,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,13,21,"18653","23616",4963,648,331,9,"[159,120,106,201,179,127,200,280,172]","[290,447,399,64,221,360,156,18,350]","172","350",349.12461958446875,-108,332,186.1888306827347,219.13144150281505,10.002575261413535,0.8494885737942184,9.966437729862918,648,521,337608,14780,4892180,4523.566312869377,0.04377858344588991,14.49071112058956,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,14,22,"19184","23947",4763,331,465,9,"[120,106,201,179,127,200,280,172,203]","[447,399,64,221,360,156,18,350,192]","203","192",161.01242188104618,31,-158,186.1888306827347,219.13144150281505,0,0,0,648,521,337608,14366,6680190,4523.566312869377,0.04255230918698609,19.78682377194853,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,16,23,"19981","24412",4431,465,680,8,"[201,179,127,200,280,172,203,176]","[64,221,360,156,18,350,192,327]","176","327",137.6735268670052,-27,135,198.70744680851064,186.37943262411346,35.062941053127375,12.518616125775935,-32.75200887870159,648,521,337608,6037,4105160,4523.566312869377,0.01788168526812161,12.159545982322694,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,17,24,"20379","25092",4713,680,398,8,"[179,127,200,280,172,203,176,194]","[221,360,156,18,350,192,327,188]","194","188",140.1606221447379,18,-139,195.89943300507312,222.5777379886601,36.307055137882784,-2.808013803437518,36.19830536454663,648,521,337608,6222,2476356,4523.566312869377,0.018429658064974763,7.335003909859956,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,18,25,"20810","25490",4680,398,183,8,"[127,200,280,172,203,176,194,203]","[360,156,18,350,192,327,188,160]","203","160",29.410882339705484,9,-28,195.89943300507312,222.5777379886601,0,0,0,648,521,337608,6242.5,1142377.5,4523.566312869377,0.01849037937489633,3.3837394256060285,0.013398871806560795
